,Cidade,País,Curso,Empresa dos sonhos,Educação,Nível de inglês,Nível de excel,Cursos extras,Gênero,Interesses,Outras línguas,Referência,Universidade,Estado,Situação
4366,,brasil,engenharia civil,,graduação,,,,masculino,pesquisas,,facebook,unicamp,,checkedin
4367,,,enfermagem,,graduação,,,,feminino,pesquisa,,amigos,facp paulínia,,checkedin
4368,,,gestão estratégica de negócios,,mba,,,,feminino,recursos humanos,,ano anterior,anhanguera,,confirmed
4369,,,licenciatura em física,,mba,,,,masculino,chocolate,,amigos,universidade federal de alfenas,,confirmed
4370,são paulo,brasil,engenharia de telecomunicações,technip fmc,mestrado,intermediate,advanced,"engenharia eletrica, engenharia eletronica",masculino,"engenharia (desenho), projetos, construção, pesquisa aplicada",espanhol.,cartaz da unicamp,unicamp,são paulo,checkedin
4371,,,engenharia de produção,,graduação,,,,masculino,"financeiro, processo, marketing",,amigo,unicamp,,checkedin
4372,,,química,,graduação,,,,feminino,"quimica, industria",,divulgação,unicamp,,checkedin
4373,,,engenharia mecânica,,graduação,,,,masculino,"qualidade, industrial, consultoria",,lista de e-mails,unicamp,,checkedin
4374,,,estudos literários,,graduação,,,,feminino,"pesquisa, publicação, editoração e curadoria",,visualizou,unicamp,,checkedin
4375,,,ciências biológicas,,graduação,,,,masculino,"consultoria, ciências biológicas",,amigo,unicamp,,checkedin
4376,,,ciências biológicas,natura,,,,,masculino,pesquisa,,facebook,unicamp,,checkedin
4377,,,engenharia elétrica,,ensino fundamental,,,,masculino,"consultoria, financeiro",,amigo,unicamp,,checkedin
4378,,,estudos literários,,graduação,,,,feminino,curadoria e pesquisa,,visualizou,unicamp,,checkedin
4379,,,economia,,graduação,,,,feminino,mercado financeiro,,facebook,unicamp,,checkedin
4380,sumaré,brasil,engenharia elétrica,villares metals,graduação,intermediate,intermediate,"eletricista de manutenção (senai roberto mange), inversores e soft-start (senai zerbini),",masculino,"manutenção, engenharia.",,amigo,faculdade anhanguera,são paulo,confirmed
4381,,,pedagogia,,mba,,,,feminino,educação,,televisão,unicamp,,checkedin
4382,,,engenharia elétrica,,graduação,,,,masculino,tudo,,facebook,unicamp,,checkedin
4383,campinas,brasil,engenharia química,mars,graduação,advanced,advanced,,masculino,"engenharia de processos, logística, administrativo, p&d e demais áreas de engenharia.",espanhol básico,tradição,unicamp,são paulo,checkedin
4384,campinas,brasil,engenharia mecânica,,graduação,advanced,advanced,,masculino,engenharia,,panfleto,unicamp,são paulo,checkedin
4385,,,engenharia mecânica,,graduação,,,,masculino,consultoria,,amigo,unicamp,,checkedin
4386,campinas,brasil,,itau,ensino médio,basic,basic,worcel,feminino,o que a empresa oferece estou a disposição,,televisão,,são paulo,confirmed
4387,limeira,brasil,administração,,graduação,advanced,intermediate,,masculino,"marketing, rh, logística",espanhol intermediario,facebook,unicamp,são paulo,checkedin
4388,vinhedo,brasil,engenharia de produção,,graduação,advanced,intermediate,,masculino,"comercial, engenharia, logistica, desenvolvimento de produtos",alemão,amigo,facamp,são paulo,checkedin
