,Cidade,País,Curso,Empresa dos sonhos,Educação,Nível de inglês,Nível de excel,Cursos extras,Gênero,Interesses,Outras línguas,Referência,Universidade,Estado,Situação
0,campinas,brasil,farmácia,"natura, medley, bayer",graduação,intermediate,basic,inglês pela plataforma my english online (ministério da educação),feminino,"industria, educação, pesquisa e hospitalar",espanhol báscio,através do facebook,unicamp,são paulo,confirmed
1,bragança paulista,brasil,física,,graduação,,,excel avancado (senac),masculino,"financeiro, pesquisa, excel, design thinking e outras correlatas",,facebook,unicamp,são paulo,checkedin
2,campinas,brasil,engenharia de alimentos,,graduação,intermediate,basic,,feminino,pesquisa e desenvolvimento,,amigos,unicamp,são paulo,confirmed
3,campinas,brasil,engenharia mecânica,"tetrapak, ambev",graduação,advanced,intermediate,,masculino,"liderança, mercado financeiro, consutoria",,facebook,unicamp,são paulo,checkedin
4,,,engenharia química,,graduação,,,,masculino,"tecnologia, empresarial e consultoria",,facebook,unicamp,,confirmed
5,campinas,brasil,engenharia mecânica,,graduação,advanced,advanced,excel aplicado à engenharia - do básico ao avançado (lean solutions),feminino,"consultoria, estratégia e gestão, operações",francês avançado,facebook,unicamp,são paulo,confirmed
6,hortolândia,brasil,química tecnológica,,graduação,intermediate,intermediate,,feminino,qualidade,,amigo,unicamp,são paulo,checkedin
7,campinas,brasil,administração,,graduação,advanced,intermediate,,feminino,"recursos humanos, marketing, financeiro, administração","inglês avançado, espanhol intermediário",facebook,unicamp,são paulo,confirmed
8,campinas,brasil,engenharia civil,,doutorado,intermediate,advanced,licenciamento ambiental (senac),feminino,"saneamento, meio ambiente",espanhol (intermediário),amigo,unicamp,são paulo,confirmed
9,campinas,brasil,,laboratorio de engenharia biomedica- usp,ensino médio,basic,intermediate,,feminino,"finaceiro, pesquisas",,amigo,,são paulo,confirmed
10,,,ciências biológicas,,graduação,,,,masculino,pesquisa,,já visitei outras vezes.,unicamp,,confirmed
11,campinas,brasil,engenharia elétrica,movile,graduação,advanced,advanced,cursos da área da udemy,masculino,data science,espanhol intermediário,facebook,unicamp,são paulo,confirmed
12,,,,,ensino médio,,,,masculino,administração,,senac,,,checkedin
13,campinas,brasil,engenharia de controle e automação,,graduação,advanced,intermediate,,masculino,engenharia,espanhol intermediário,facebook,unicamp,são paulo,checkedin
14,,,sistemas de informação,,graduação,,,,masculino,financeiro,,amigos,unasp,,checkedin
15,,,engenharia mecânica,,graduação,,,,masculino,"pesquisa, parte técnica",,facebook,unicamp,,checkedin
16,itu,brasil,engenharia de produção,bcg,graduação,advanced,advanced,,feminino,"consultoria, além de indústrias de alimentos e bens de consumo",,amigos,unicamp,são paulo,checkedin
17,,,engenharia agrícola,,graduação,,,,masculino,"engenharia, consultoria, financeira",,amigo,unicamp,,confirmed
18,valinhos,brasil,engenharia química,,graduação,advanced,intermediate,"general business program (btc), marketing estratégico (fgv), design thinking (inventta innovation institute)",feminino,"consultoria,  planejamento, gestão",,facebook,unicamp,são paulo,confirmed
19,campinas,brasil,ciências biológicas,,graduação,basic,basic,,feminino,pesquisa e análise clínica,,facebook,unesp,são paulo,checkedin
20,campinas,brasil,,,ensino fundamental,basic,,,masculino,pesquisa,,facebook,,são paulo,checkedin
21,louveira,brasil,ciências biológicas,"embrapa, natura, ypê.",graduação,basic,basic,"curso neurociências- ufabc, gestão de pessoas - enap.",feminino,"neurociências,  meio ambiente, gestão de pessoas, coach.","espanhol- básico,  hebraico - básico",facebook,unicamp,são paulo,confirmed
22,jundiaí,brasil,engenharia civil,,graduação,advanced,intermediate,,masculino,"consultoria, construtoras, bancos",,amigo,unicamp,são paulo,checkedin
23,hortolândia,brasil,,honda,ensino médio,basic,intermediate,administração empresarial,masculino,"contabilidade, financeiro, direito, administração empresarial ,economia e engenharia aeronáutica",espanhol básico,unicamp,,são paulo,confirmed
24,hortolândia,brasil,arquitetura e urbanismo,"honda , ems , sansung , ambev",graduação,basic,advanced,,feminino,"relações públicas,comercial ,  auxiliar administrativo , arquitetura .",espanhol avançado,facebook,faculdade anhanguera - campinas,são paulo,confirmed
25,limeira,brasil,administração,robert bosch gmbh,graduação,basic,intermediate,,feminino,"comércio exterior, planejamento estratégico, marketing nas áreas da administração, consultoria, recursos humanos.. entre outros.",espanhol nível básico,facebook,unicamp,são paulo,checkedin
26,hortolândia,brasil,engenharia de produção,,graduação,intermediate,advanced,,feminino,"gestão de qualidade, melhoria contínua, processos, gestão de produção, projetos",,e-mail,universidade são francisco,são paulo,confirmed
27,,,administração,,graduação,,,,feminino,adm,,já conhecia o evento de anos anteriores,unicamp,,checkedin
28,campinas,brasil,engenharia de computação,,graduação,advanced,intermediate,,feminino,ti,japonês intermediário,unicamp,unicamp,são paulo,checkedin
29,são paulo,brasil,engenharia de computação,universidade estadual de campinas,graduação,advanced,advanced,"curso de machine learning do coursera, venturus4tech, samsung ocean.",masculino,"tecnologia, programação, análise de dados.",espanhol intermediário.,amigos,unicamp,são paulo,checkedin
30,,brasil,engenharia elétrica,,graduação,advanced,intermediate,,masculino,"eletrönica, comunicações, sistemas embarcados",francës fluente,facebook,unicamp,,checkedin
31,campinas,brasil,curso superior de tecnologia em saneamento ambiental,bosch,graduação,basic,basic,,feminino,"consultoria, segurança do trabalho, meio ambiente e qualidade",,amigos,unicamp,são paulo,checkedin
32,campinas,brasil,publicidade e propaganda,pwc,,advanced,intermediate,workshop storytelling - ikigai school; new business markets in the internet of things  - iot university.,feminino,"marketing, comunicação, publicidade e propaganda.",,facebook,unicamp,são paulo,confirmed
33,,,química tecnológica,,graduação,,,,feminino,personal care,,facecebook,unicamp,,confirmed
34,campinas,brasil,engenharia elétrica,,graduação,advanced,basic,,feminino,p&d,francês avançado,facebook,unicamp,são paulo,checkedin
35,campinas,brasil,engenharia agrícola,cat,graduação,intermediate,intermediate,,feminino,"pesquisa, agrícola, maquinário, ambiência",espanhol básico,unicamp,unicamp,são paulo,checkedin
36,,,educação física,,graduação,,,,feminino,estágio em educação física,,facebook,unicamp,,confirmed
37,campinas,brasil,química tecnológica,petrobras,graduação,advanced,basic,intercâmbio,feminino,"pesquisa,laboratório",espanhol intermediário,amigo,unicamp,são paulo,confirmed
38,campinas,brasil,engenharia química,,,advanced,advanced,gestão de projeto e estatística para engenharia,feminino,"p&d, supply, engenharia de processos e consultoria",espanhol fluente e francês básico,mej,unicamp,são paulo,confirmed
39,santa bárbara d'oeste,brasil,ciências econômicas,que ofereça oportunidades de crescimento e desenvolvimento,graduação,intermediate,basic,,masculino,"financeiro, administrativo, consultoria, comercial",espanhol básico,amigos e facebook,puccamp,são paulo,checkedin
40,campinas,brasil,química tecnológica,natura,graduação,intermediate,basic,,feminino,pesquisa,chinês (mandarim) básico,amigo,unicamp,são paulo,confirmed
41,campinas,brasil,administração,bancos,graduação,intermediate,basic,,masculino,mercado financeiro,,facebook,unicamp,são paulo,checkedin
42,,,engenharia agrícola,,graduação,,,,masculino,consultoria,,amigo,unicamp,,confirmed
43,,,pedagogia,,graduação,,,,feminino,educação,,amigos,unicamp,,checkedin
44,campinas,brasil,engenharia elétrica,,ensino fundamental,advanced,intermediate,,feminino,"consultoria, finanças e empresas de tecnologia","francês, espanhol",facebook,unicamp,são paulo,checkedin
45,campinas,brasil,,"dell, jhonson&jhonson, ibm",ensino médio,intermediate,basic,"pacote office concluido em 2003, digitação em 2017, english em 2018",feminino,"recepcionista, auxiliar de produção",,pela ldsjobs,,são paulo,confirmed
46,campinas,brasil,engenharia elétrica,,graduação,advanced,intermediate,,feminino,"logistica, consultoria",italiano,ej,unicamp,são paulo,confirmed
47,campinas,brasil,engenharia química,"raizen, braskem, danone",graduação,advanced,advanced,"excel avançado, six sigma white belt, fundamento e aplicações da bioenergia, scilab, ansys.",feminino,"pesquisa e desenvolvimento, biotecnologia, bioenergia, engenharia (fábrica), química industrial, qualidade.",espanhol básico.,facebook.,universidade federal de itajubá,são paulo,confirmed
48,jundiaí,brasil,farmácia,,graduação,intermediate,intermediate,,feminino,pesquisa e desenvolvimento; controle de qualidade,espanhol avançado,facebook,unicamp,são paulo,checkedin
49,indaiatuba,brasil,administração,,graduação,advanced,intermediate,"graduação em gestão do comércio internacional, unicamp 2013",masculino,"compras, marketing, planejamento estratégico",,facebook,unicamp,são paulo,checkedin
50,campinas,brasil,engenharia ambiental,raízen,graduação,intermediate,basic,iso14000; iso17025; biogas & anaerobic digestion training course,NA,"biogás, bioenergia, sustentabilidade",espanhol fluente,mte,unicamp,são paulo,checkedin
51,mogi das cruzes,brasil,engenharia mecânica,rumo,graduação,advanced,basic,,masculino,logistica,"espanhol avancado, italiano basico, japones basico",facebook,unicamp,são paulo,confirmed
52,campinas,brasil,ciências econômicas,,graduação,intermediate,intermediate,,masculino,consultoria; acessoria,,facebook,unicamp,são paulo,checkedin
53,campinas,brasil,,,ensino médio,basic,basic,precoltec - pré-vestibulinhos; técnico em plásticos - cotuca; projeto de moldes - senai roberto mange,feminino,"laboratório, processos de fabricação, qualidade, logística",,facebook,,são paulo,checkedin
54,campinas,brasil,química tecnológica,,graduação,advanced,intermediate,,feminino,pesquisa,,amigos,unicamp,são paulo,checkedin
55,sumaré,brasil,engenharia de controle e automação,,graduação,advanced,intermediate,"técnico em mecatrônica (colégio técnico de campinas), introdução a tecnologia lte (wsdigital), pacote office da microsoft (microlins)",masculino,"consultoria, financeiro, tecnologia, engenharia, banco",,divulgação do mte pelo facebook,unicamp,são paulo,checkedin
56,campinas,brasil,engenharia agrícola,raízen,graduação,intermediate,intermediate,,masculino,"usinas de cana, consultoria, engenharia em geral",espanhol intermediário,amigos,unicamp,são paulo,checkedin
57,limeira,brasil,estatística,,graduação,intermediate,intermediate,,feminino,consultoria,,facebook,unicamp,são paulo,checkedin
58,campinas,brasil,química,,graduação,basic,intermediate,,feminino,"pesquisa e desenvolvimento, quimica, indústrias quimicas",,facebook,unicamp,são paulo,confirmed
59,sumaré,brasil,engenharia de controle e automação,google,graduação,intermediate,intermediate,,masculino,"investimentos, automação, programação, desenvolvimento de websites e aplicativos",,amigos,unicamp,são paulo,checkedin
60,campinas,brasil,engenharia mecânica,fábrica de automóveis.,graduação,basic,intermediate,,masculino,"financeiro, gerencia, operacional, logística, mecânica, engenharia mecânica,",,meu irmão me passou o link do site.,faculdade anhanguera - campinas,são paulo,checkedin
61,campinas,brasil,engenharia mecânica,mercedes,graduação,advanced,intermediate,"instalações elétricas, operações de conformação, caldeiraria,soldagem, extensão automotiva, autocad, solid works e inventor",masculino,"testes, design, projetos",,facebook,metrocamp,são paulo,checkedin
62,,,enfermagem,,graduação,,,,feminino,assistência,japonês fluente,amigo,unicamp,,checkedin
63,,,,,ensino médio,,,,feminino,agrícola,,amigos,,,checkedin
64,campinas,brasil,engenharia elétrica,,graduação,advanced,advanced,,masculino,"desenvolvimento de software, data science, sistemas embarcados","alemao intermediário, italiano intermediário",amigo,unicamp,são paulo,confirmed
65,campinas,brasil,engenharia mecânica,,graduação,advanced,intermediate,,feminino,pesquisa,,amigos,unicamp,são paulo,checkedin
66,campinas,brasil,engenharia química,,graduação,advanced,advanced,,feminino,"indústria química, cosmética, alimentos",alemão avançado  e espanhol intermediário,amigo,unicamp,são paulo,confirmed
67,campinas,brasil,engenharia química,3m,graduação,advanced,advanced,"análise e otimização de ciclos termodinâmicos; eficiência energética em processos; white belt em redução do consumo de ar comprimido (6sigma); sistemas de refrigeração; matlab para engenharia – wpi, 2016",masculino,processos,italiano e espanhol básico,unicamp,unicamp,são paulo,checkedin
68,são paulo,brasil,engenharia civil,banco safra,ensino fundamental,intermediate,intermediate,"autocad, storytelling.",feminino,"consultoria, financeiro e indústria",,amigo,unicamp,são paulo,confirmed
69,,,engenharia de alimentos,,graduação,,,,feminino,engenharia de alimentos,,facebook,unicamp,,checkedin
70,campinas,brasil,,,ensino médio,basic,intermediate,lean six sigma,feminino,"logística, produção, administração",,facebook,,são paulo,confirmed
71,sumaré,brasil,engenharia de alimentos,,graduação,intermediate,basic,,masculino,pesquisa,,facebook,unicamp,são paulo,checkedin
72,campinas,brasil,engenharia química,natura,graduação,advanced,intermediate,mba em cosmetologia,feminino,"pesquisa e desenvolvimento, engenharia de produção",espanhol intermediário,facebook,unicamp,são paulo,confirmed
73,campinas,brasil,direito,thomson reuters,graduação,advanced,basic,"curso deinglês jurídico fgv, curso de expressão verbal e escrita, curso de comportamento corporativo.",masculino,jurídica,espanhol básico,facebook,metrocamp,são paulo,confirmed
74,araras,brasil,sistemas de informação,ibm,graduação,basic,basic,udemy é o que estou mais utilizando.,feminino,"desenvolvimento de front enf, back end, análise de projetos em it.","entendo, mas não falo italiano e estudo alemão por conta própria ( duolingo).",já estive em uma edição e acompanho a feira.,unicamp,são paulo,confirmed
75,campinas,brasil,ciências econômicas,elektro,graduação,basic,basic,,feminino,"controladoria, contabilidade, financeiro e recursos humanos",,na universidade,unicamp,são paulo,confirmed
76,poa,brasil,direito,,mestrado,,basic,,masculino,consultoria,,amigos,faculdade anhanguera,são paulo,confirmed
77,são paulo,brasil,engenharia civil,,graduação,advanced,advanced,,masculino,"consultorias, bancos, engenharia",,facebook,unicamp,são paulo,checkedin
78,campinas,brasil,matemática/física/matemática aplicada e computacional,,graduação,intermediate,intermediate,"iniciação científica em matemática, imecc, unicamp, 2015",feminino,"administração, financeiro, pesquisa em matemática",,facebook,unicamp,são paulo,checkedin
79,limeira,brasil,administração,"caterpillar, amazon, samsung, itau, bosch",graduação,advanced,intermediate,,masculino,"financeiro, marketing, consultoria",francês intermediário,amigo,unicamp,são paulo,confirmed
80,campinas,brasil,engenharia mecânica,fsae unicamp,graduação,advanced,advanced,,masculino,engenharia de pista,,facebook,unicamp,são paulo,confirmed
81,são paulo,brasil,engenharia química,embraer,graduação,intermediate,intermediate,"excel intermediário; programação em c; tratamento de efluentes,",feminino,"banco, consultoria e indústria",espanhol intermediário,mte,unicamp,são paulo,confirmed
82,campinas,brasil,engenharia de alimentos,uma que valorize a tecnologia como aliada de seu crescimento e modernização.,graduação,advanced,intermediate,,feminino,pesquisa e desenvolvimento  e consultoria,espanhol básico,facebook,unicamp,são paulo,confirmed
83,sumaré,brasil,ciência da computação,microsoft,graduação,advanced,intermediate,,masculino,"desenvolvimento de software para backend, otimização de código de baixo e alto nível, pesquisa e desenvolvimento",,facebook,unicamp,são paulo,checkedin
84,campinas,brasil,engenharia de produção,industria em geral,graduação,intermediate,intermediate,tecnologia da informação,masculino,"qualidade, projetos, produção, ti",,amigo,universidade são francisco,são paulo,confirmed
85,,,engenharia química,,graduação,,,,feminino,engenharia,,facebook,unicamp,,checkedin
86,americana,brasil,psicologia,matera system,,basic,basic,"relacionamento pais e filhos, excel, transtorno do espectro autista",feminino,recursos humanos,espanhol - básico,e-mail,unisal,são paulo,confirmed
87,campinas,brasil,engenharia elétrica,gympass,graduação,advanced,intermediate,green belt,masculino,"consultoria, industria, banco e startups",francês intermediário,sou organizador,unicamp,são paulo,confirmed
88,campinas,brasil,sistemas de informação,empresa com ambiente colaborativo e de aprendizagem,graduação,intermediate,intermediate,,feminino,estágio área de ti,,amigo,puccamp,são paulo,checkedin
89,,,engenharia de produção,,,,,,masculino,engenahria,,amigos,unicamp,,checkedin
90,,brasil,ciências econômicas,,graduação,advanced,advanced,,masculino,"consultoria, financeiro, controladoria, planejamento, estratégia",,facebook,unicamp,são paulo,confirmed
91,hortolândia,brasil,,bosh,ensino médio,basic,basic,,feminino,"auxiliar adm, recepçao, secretaria, estagio psicologia",espanhol,internet,,são paulo,checkedin
92,campinas,brasil,engenharia elétrica,,graduação,advanced,intermediate,,masculino,"desenvolvimento, projetos",,facebook,unicamp,são paulo,checkedin
93,,afeganistão,curso superior de tecnologia em análise e desenvolvimento de sistemas,cnpem,graduação,,,,masculino,"sistemas embarcados, desenvolvimento de software",,facebook,ifsp - campinas,,checkedin
94,,,programa de formação interdisciplinar superior - profis,,graduação,,,,feminino,pesquisa,,facebook,unicamp,,checkedin
95,campinas,brasil,química tecnológica,cnpem,graduação,basic,intermediate,,masculino,pésquisa,,amigos e facebook,unicamp,são paulo,checkedin
96,campinas,brasil,engenharia química,loreal,graduação,advanced,advanced,yellow belt six sigma,masculino,"óleo e gás, cosméticos, petroquímico",espanhol básico,facebook,unicamp,são paulo,checkedin
97,campinas,brasil,engenharia civil,,graduação,intermediate,intermediate,,feminino,"obra, calculista, consultoria",,facebook,unicamp,são paulo,checkedin
98,campinas,brasil,farmácia,natura,graduação,basic,basic,análises clínicas,feminino,desenvolvimento e analises,,facebook,unip,são paulo,confirmed
99,campinas,brasil,engenharia elétrica,,graduação,advanced,intermediate,"cursando python no codecademy, utillizando powerworld no tcc",masculino,"engenharia, consultoria, administração, financeiro","espanhol básico, italiano básico",amigo,unicamp,são paulo,checkedin
100,campinas,brasil,matemática aplicada e computacional,,mestrado,intermediate,intermediate,"cursos para professorado (ver linkedin), iii escola de matemática aplicada, iv workshop de soluções matemáticas para problemas industriais (membro do grupo de roteirização dinâmica - problema da b2w)",masculino,"matemática, ensino médio, pesquisa operacional","espanhol e valenciano nativos, português fluente, francês superior",facebook,unicamp,são paulo,confirmed
101,limeira,brasil,administração,,graduação,intermediate,basic,,feminino,"e-commerce, marketing",espanhol básico,facebook,unicamp,são paulo,checkedin
102,,,engenharia civil,,graduação,,,,feminino,"produção, operacional, consultoria, projetos",,facebook,unicamp,,checkedin
103,campinas,brasil,ciências econômicas,,graduação,advanced,intermediate,,masculino,"consultoria, análise de dados,",francês avançado,pela unicamp,unicamp,são paulo,checkedin
104,campinas,brasil,engenharia de controle e automação,bain & company,graduação,advanced,advanced,,masculino,consultoria,francês básico,facebook,unicamp,são paulo,checkedin
105,alfenas,brasil,farmácia,merck,graduação,,,,feminino,"consultoria, pesquisa e desenvolvimento, síntese química, quimica medicinal, farmacologia",,facebook,unifal,minas gerais,checkedin
106,campinas,brasil,engenharia de alimentos,,graduação,advanced,advanced,"excel avançado, auditor interno abnt nbr iso 9001:2015, workshop food safety.",feminino,"engenharia, qualidade, comercial, logística, marketing.",,facebook,unicamp,são paulo,checkedin
107,campinas,brasil,engenharia química,,graduação,advanced,intermediate,,feminino,engenharia,espanhol intermédio,amigo,puccamp,são paulo,checkedin
108,campinas,brasil,arquitetura e urbanismo,,graduação,basic,intermediate,tecnico em design de interiores,feminino,pesquisa,,facebook,puccamp,são paulo,confirmed
109,,,programa de formação interdisciplinar superior - profis,,graduação,,,,masculino,pesquisa,,uma amiga me convidou no facebook,unicamp,,checkedin
110,sumaré,brasil,química tecnológica,unilever,graduação,advanced,intermediate,,feminino,pesquisa e desenvolvimento,espanhol básico,facebook,unicamp,são paulo,checkedin
111,campinas,brasil,ciências econômicas,,graduação,advanced,basic,"investimentos, derivativos",masculino,financeiro,,facebook e amigos,unicamp,são paulo,checkedin
112,são paulo,qatar,engenharia civil,itaú,graduação,intermediate,intermediate,"curso mercado financeiro gmf, coursera, veduca",feminino,"financeiro, banco, engenharia",,facebook,unicamp,são paulo,confirmed
113,sumaré,brasil,administração,itaú,graduação,,basic,,feminino,caixa,,facebook,faculdade anhanguera - campinas,são paulo,confirmed
114,campinas,brasil,engenharia mecânica,volkswagen,mestrado,advanced,advanced,intercâmbio de 6 meses na irlanda,masculino,trainee em engenharia,alemão básico,facebook,unicamp,são paulo,checkedin
115,campinas,brasil,estatística,,graduação,advanced,intermediate,,feminino,variadas,,amigos,unicamp,são paulo,checkedin
116,campinas,brasil,engenharia civil,,graduação,intermediate,intermediate,,feminino,construção civil,,facebook,unicamp,são paulo,confirmed
117,campinas,brasil,engenharia mecânica,"caterpillar, tetra pak, p&g, unilever e dhl",graduação,basic,intermediate,curso de liderança,masculino,"financeiro, gestão empresarial e gestão de produção",espanhol básico,facebook,unicamp,são paulo,checkedin
118,são paulo,brasil,engenharia de produção,accenture,graduação,advanced,advanced,,masculino,"consultoria, estratégia, negócios, supply",espanhol,amigo,unesp,são paulo,confirmed
119,batatais,brasil,farmácia,"ems, medley, sanofi",graduação,intermediate,intermediate,,feminino,"assuntos regulatórios, controle de qualidade",,amigos,unifal-mg,são paulo,confirmed
120,,,engenharia química,,graduação,,,,masculino,consultoria,,facebook,unicamp,,checkedin
121,campinas,brasil,ciências biológicas,unicamp,mestrado,advanced,intermediate,,feminino,pesquisa,espanhol básico,amigos,unicamp,são paulo,confirmed
122,indaiatuba,brasil,engenharia elétrica,,graduação,advanced,advanced,"dashboard (excel), global apqp",feminino,"consultoria, gerenciamento de projetos, automotivo",espanhol básico,facebook,unicamp,são paulo,confirmed
123,campinas,brasil,engenharia de computação,,graduação,advanced,intermediate,,feminino,consultoria,"alemão intermediário, japones intermediario e coreano intermediario",facebook (pagina da talento),unicamp,são paulo,confirmed
124,campinas,brasil,química tecnológica,p&g,graduação,intermediate,intermediate,pós graduação em cosmetologia,feminino,pesquisa,espanhol intermediário,facebook,unicamp,são paulo,checkedin
125,campinas,brasil,programa de formação interdisciplinar superior - profis,,graduação,basic,basic,,feminino,biologia,,amigos,unicamp,são paulo,checkedin
126,campinas,brasil,ciências econômicas,,graduação,intermediate,intermediate,curso técnico em administração pela etec gustavo teixeira,feminino,"financeiro, empresarial, consultoria",,amiga,unicamp,são paulo,confirmed
127,campinas,brasil,engenharia elétrica,spacex,graduação,intermediate,intermediate,machine learning pelo coursera.,masculino,"consultoria, pesquisa, veículos elétricos, automobilismo",python,facebook,unicamp,são paulo,checkedin
128,,,engenharia química,,graduação,,,,feminino,"processos, pesquisa e desenvolvimento",,facebook,unicamp,,checkedin
129,campinas,brasil,estatística,itaú,graduação,basic,intermediate,,feminino,"análise de dados, financeiro, marketing digital",,facebook,unicamp,são paulo,confirmed
130,,,engenharia civil,,graduação,,,,masculino,engenharia,,amigo,unicamp,,checkedin
131,campinas,brasil,ciências econômicas,goldman sachs bank,graduação,intermediate,advanced,coursera: successful negotiation: essential strategies and skills - university of michigan,masculino,"financeiro, consultoria e indústria",,amigo,unicamp,são paulo,checkedin
132,campinas,brasil,engenharia mecânica,,graduação,advanced,advanced,,feminino,"pesquisa e desenvolvimento, planejamento da produção, finanças",francês avançado,facebook,unicamp,são paulo,confirmed
133,,,engenharia de alimentos,,graduação,,,,feminino,"consultoria, pesquisa, industrial, desenvolvimento de produtos, controle de qualidade, administrativo",,amigo,unicamp,,checkedin
134,indaiatuba,brasil,,,ensino médio,basic,intermediate,,masculino,"medicina, programação",,colégio,,são paulo,checkedin
135,campinas,brasil,engenharia elétrica,nintendo,graduação,advanced,basic,"arduino, investimentos",masculino,"eletrônica, sitemas embarcados, financeiro, consultoria","japonês básico, francês intermediário, espanhol básico.",facebook,unicamp,são paulo,checkedin
136,poços de caldas,brasil,engenharia química,,graduação,advanced,advanced,"lean six sigma white/yellow belt, ferramenta 5s, endeavor, informática em geral",masculino,"engenharia, pesquisa e desenvolvimento",espanhol básico,facebook,unifal-mg,minas gerais,checkedin
137,campinas,brasil,engenharia de produção,tetra pak,graduação,basic,intermediate,,feminino,"química, engenharia, produção",,amigos,unimep,são paulo,checkedin
138,campinas,brasil,administração,,graduação,advanced,intermediate,,masculino,"consultoria, financeiro, marketing",,amigo,unicamp,são paulo,checkedin
139,hortolândia,brasil,,,ensino médio,basic,basic,"técnico de recursos humanos, técnico em produção de moda",feminino,"recursos humanos, moda",,"amigo, facebook",,são paulo,checkedin
140,campinas,brasil,química tecnológica,,graduação,intermediate,advanced,,feminino,"auditoria, consultoria, química",,facebook,unicamp,são paulo,confirmed
141,são paulo,brasil,ciências econômicas,,graduação,advanced,intermediate,,masculino,consultoria,francês intermediario,amigos,unicamp,são paulo,checkedin
142,indaiatuba,brasil,química,unilever,graduação,intermediate,basic,,feminino,"pesquisa, p&d",,facebook,unicamp,são paulo,confirmed
143,campinas,brasil,farmácia,"merck, unilever, nestle",graduação,advanced,advanced,,feminino,controle de qualidade,espanhol,amigos,unifal-mg,são paulo,checkedin
144,campinas,brasil,engenharia ambiental,,graduação,advanced,intermediate,"autocad, arcgis, inglês acadêmico",feminino,"engenharias, meio ambiente, geoprocessamento",,facebook,unesp,são paulo,checkedin
145,campinas,brasil,engenharia química,,graduação,intermediate,advanced,,feminino,"industria, processos, pesquisa, produção, qualidade, química, engenharia",,facebook,unicamp,são paulo,checkedin
146,,,enfermagem,,graduação,,,,feminino,pesquisa,,facebook,unicamp,,checkedin
147,sumaré,brasil,psicologia,gradus,graduação,intermediate,advanced,"liderança, office, senai.",masculino,recursos humanos,,amigo,puccamp,são paulo,confirmed
148,campinas,brasil,engenharia de alimentos,heinz,graduação,intermediate,basic,técnico em bioquímica,masculino,"produção, marketing",,amigo,unicamp,são paulo,checkedin
149,campinas,brasil,engenharia de computação,,graduação,intermediate,intermediate,apple developer academy,masculino,"desenvolvimento/p&d, consultoria",,amigos e facebook,unicamp,são paulo,checkedin
150,campinas,brasil,engenharia química,petrobras,graduação,advanced,advanced,"lean manufacture básico, six sigma white belt, gestão de projetos básico, microsoft office avançado, visual basic for applications, autocad for pipe systems, ansys cfd, aspen plus modeling, process control softwares (simulink, hmi/scada), entre outros.",masculino,"combustíveis, biocombustíveis, óleo e gás, plásticos e polímeros em geral","espanhol avançado, francês intermediário, árabe básico",facebook,unicamp,são paulo,checkedin
151,são josé dos campos,brasil,engenharia química,,graduação,basic,basic,,masculino,"consultoria,indústria",,facebook,unicamp,são paulo,checkedin
152,campinas,brasil,engenharia agrícola,,graduação,advanced,basic,,masculino,gestão de empresas agrícolas,,divulgação na universidade,unicamp,são paulo,checkedin
153,,,ciências biológicas,,graduação,,,,masculino,anatomia e histologia,,internet,unicamp,,confirmed
154,campinas,brasil,engenharia de computação,valve,graduação,advanced,advanced,android studio (udemy). até o dia da talento provavelmente terei feito um de web.,masculino,"desenvolvimento mobile/web/front-end no geral, consultoria (pouco)",,estudo na unicamp.,unicamp,são paulo,confirmed
155,vinhedo,brasil,engenharia civil,,graduação,intermediate,intermediate,,masculino,consultoria e financeiro,francês básico,facebook,unicamp,são paulo,checkedin
156,santa bárbara d'oeste,brasil,ciência da computação,,graduação,advanced,advanced,,feminino,ti,espanhol básico,cotil,unicamp,são paulo,checkedin
157,,,engenharia civil,,graduação,,,,feminino,engenharia civil,,facebook,unicamp,,checkedin
158,campinas,brasil,engenharia civil,tishman speyer,graduação,advanced,intermediate,,masculino,"engenharia, financeiro, logistica",,facebook,unicamp,são paulo,confirmed
159,campinas,brasil,geologia,,graduação,advanced,basic,,masculino,"consultoria, pesquisa",mandarim básico,facebook,unicamp,são paulo,checkedin
160,campinas,brasil,engenharia mecânica,bosch,graduação,,,,masculino,industria,,facebook,unicamp,são paulo,confirmed
161,cariacica,brasil,matemática aplicada e computacional,,graduação,advanced,intermediate,,masculino,"consultoria, tecnologia, gestão de projetos",inglês avançado,facebook,unicamp,espírito santo,confirmed
162,campinas,brasil,engenharia civil,odebrecht,graduação,advanced,intermediate,,feminino,projetos estruturais e obras hidráulicas,,facebook,unicamp,são paulo,confirmed
163,,,sistemas de informação,,graduação,,,,feminino,ti,,pelo facebook,unicamp,,checkedin
164,campinas,brasil,engenharia química,basf,graduação,intermediate,advanced,,masculino,"engenharia, finanças",,facebook,unicamp,são paulo,checkedin
165,campinas,brasil,ciência da computação,microsoft,graduação,intermediate,intermediate,"php - alura, html css - gustavo guanabara, javascript",masculino,desenvolvimento,,facebook,unicamp,são paulo,checkedin
166,campinas,brasil,química tecnológica,aché,graduação,intermediate,basic,,feminino,química,,amigos,unicamp,são paulo,confirmed
167,itatiba,brasil,engenharia de alimentos,,graduação,advanced,intermediate,,feminino,"engenharia de processos, p&d, qualidade",,facebook,unicamp,são paulo,checkedin
168,limeira,brasil,engenharia de telecomunicações,"google, nasa",graduação,intermediate,intermediate,,masculino,"engenharia, telecomunicações, eletrônica.",,facebook,unicamp,são paulo,confirmed
